duration,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,label
51,273,295,8,0.9429097039125192,0.2579416277151556,normal
92,387,724,5,0.32320293202075523,0.659984046034179,attack
14,600,719,3,0.5187906217433661,0.8172222002012158,normal
71,315,748,8,0.7030189588951778,0.5552008115994623,attack
60,13,337,6,0.363629602379294,0.5296505783560065,normal
20,241,878,3,0.9717820827209607,0.24185229090045168,attack
82,776,52,1,0.9624472949421112,0.09310276780589921,normal
86,345,791,3,0.25178229582536416,0.8972157579533268,attack
74,564,921,5,0.49724850589238545,0.9004180571633305,normal
74,897,216,3,0.30087830981676966,0.6331014572732679,attack
87,339,763,1,0.2848404943774676,0.3390297910487007,normal
99,91,187,5,0.036886947354532795,0.3492095746126609,attack
23,366,379,7,0.6095643339798968,0.7259556788702394,attack
2,955,492,7,0.5026790232288615,0.8971102599525771,attack
21,454,40,9,0.05147875124998935,0.8870864242651173,normal
52,427,156,3,0.27864646423661144,0.7798755458576239,attack
1,508,14,7,0.9082658859666537,0.6420316461542878,normal
87,775,812,1,0.23956189066697242,0.08413996499504883,attack
29,942,64,4,0.1448948720912231,0.16162871409461377,normal
37,34,856,4,0.489452760277563,0.8985541885270792,attack
1,205,838,5,0.9856504541106007,0.6064290596595899,normal
63,80,520,7,0.2420552715115004,0.009197051616629648,normal
59,931,343,7,0.6721355474058786,0.1014715428660321,attack
20,561,128,4,0.7616196153287176,0.6635017691080558,normal
32,871,647,7,0.23763754399239967,0.005061583846218687,normal
75,387,471,3,0.7282163486118596,0.16080805141749865,attack
57,1,62,6,0.3677831327192532,0.5487337893665861,normal
21,389,138,2,0.6323058305935795,0.6918951976926933,normal
88,565,498,9,0.6335297107608947,0.6519612595026005,normal
48,105,592,5,0.5357746840747585,0.22426930946055978,attack
90,771,391,6,0.0902897700544083,0.7121792213475359,normal
58,821,674,4,0.835302495589238,0.23724908749680007,attack
41,476,418,7,0.32078006497173583,0.3253996981592677,normal
91,702,288,9,0.18651851039985423,0.7464914051180241,normal
59,401,378,7,0.040775141554763916,0.6496328990472147,normal
79,729,772,1,0.5908929431882418,0.8492234104941779,attack
14,555,489,1,0.6775643618422824,0.6576128923003434,normal
61,161,230,9,0.016587828927856152,0.5683086033354716,normal
61,201,40,9,0.512093058299281,0.09367476782809248,attack
46,957,27,4,0.22649577519793795,0.3677158030594335,normal
61,995,134,9,0.6451727904094499,0.26520236768172545,attack
50,269,200,3,0.17436642900499144,0.24398964337908358,attack
54,862,839,7,0.690937738102466,0.9730105547524456,normal
63,815,779,6,0.3867353463005374,0.3930977246667604,attack
2,270,929,8,0.9367299887367345,0.8920465551771133,normal
50,455,32,9,0.13752094414599325,0.6311386259972629,attack
6,461,47,5,0.3410663510502585,0.7948113035416484,attack
20,726,502,1,0.11347352124058907,0.5026370931051921,normal
72,251,406,3,0.9246936182785628,0.5769038846263591,attack
38,701,573,8,0.877339353380981,0.4925176938188639,attack
